1977,7,30.10,10.90,12
1977,8,125.00,24.40,14
1977,9,69.70,23.90,14
1977,10,222.30,51.20,28
1977,11,92.30,28.40,18
1977,12,204.00,34.80,23
1978,1,106.40,28.10,22
1978,2,166.10,33.40,23
1978,3,100.60,12.70,24
1978,4,99.00,44.90,11
1978,5,25.80,8.50,7
1978,6,59.90,15.00,15
1978,7,82.90,31.00,14
1978,8,114.10,19.80,13
1978,9,44.70,22.10,11
1978,10,49.10,21.10,12
1978,11,96.20,12.70,22
1978,12,265.00,46.70,24
1979,1,112.20,18.70,21
1979,2,191.80,36.10,17
1979,3,102.50,39.30,24
1979,4,39.60,12.10,14
1979,5,103.60,14.60,20
1979,6,67.30,18.00,14
1979,7,16.20,6.70,6
1979,8,88.80,14.80,18
1979,9,50.70,14.00,13
1979,10,153.70,43.70,20
1979,11,98.70,20.60,26
1979,12,216.40,34.70,26
1980,1,134.20,21.10,20
1980,2,150.10,25.60,19
1980,3,109.30,22.30,24
1980,4,37.90,13.60,7
1980,5,36.90,11.20,9
1980,6,46.60,11.80,22
1980,7,118.20,24.70,22
1980,8,123.00,27.90,16
1980,9,150.70,34.70,17
1980,10,157.50,23.80,21
1980,11,107.90,29.00,17
1980,12,131.50,27.50,23
1981,1,41.80,8.40,16
1981,2,97.00,18.20,16
1981,3,213.50,29.00,22
1981,4,30.30,17.00,8
1981,5,216.40,30.50,26
1981,6,74.10,15.60,14
1981,7,36.20,13.80,17
1981,8,18.70,7.90,8
1981,9,169.10,27.60,23
1981,10,79.50,19.10,23
1981,11,106.70,21.60,19
1981,12,168.50,52.20,18
1982,1,136.00,28.40,22
1982,2,168.00,41.10,22
1982,3,105.50,12.40,20
1982,4,46.40,27.60,7
1982,5,92.70,11.20,21
1982,6,165.40,43.30,17
1982,7,29.00,5.90,11
1982,8,104.90,32.20,18
1982,9,120.60,23.80,19
1982,10,209.50,37.80,24
1982,11,190.30,35.70,25
1982,12,143.40,32.80,24
1983,1,144.90,20.60,23
1983,2,99.90,48.20,15
1983,3,103.60,20.90,22
1983,4,85.60,18.80,19
1983,5,99.90,14.70,22
